Date,Open,High,Low,Close
6/29/2022,172.99,172.99,170.3,171.86
6/30/2022,172.99,172.99,170,171.6
07/01/22,172.38,172.38,169,171.64
07/04/22,172.9,172.9,170.65,172.63
07/05/22,175,175.99,170.11,172.04
07/06/22,174.68,174.68,170.91,174.12
07/07/22,175.35,175.7,174.4,175.54
07/08/22,178.99,178.99,175.58,176.28
07/11/22,178.88,178.88,175.08,176.23
07/12/22,175.9,176,174.7,175.1
7/13/2022,177.99,177.99,173.95,174.06
7/14/2022,176.44,176.44,172.11,173.93
7/15/2022,176.97,176.97,171.11,175.02
7/18/2022,176.7,177.5,175.55,177.39
7/19/2022,176.8,178.19,175.9,177.88
7/20/2022,182.8,182.8,178.7,179.53
7/21/2022,180.97,180.97,178.2,180.54
7/22/2022,177.11,182.87,177.11,181.89
7/25/2022,182.95,184.51,180.3,181.46
7/26/2022,176.1,181.95,176.1,179.91
7/27/2022,180.89,181.8,178.6,181.6
7/28/2022,184.5,184.5,180.11,184.18
7/29/2022,185,186.8,184.25,186.54
08/01/22,186.54,190,186.54,188.63
08/02/22,199.99,199.99,183,188.62
08/03/22,188.9,189.4,180.01,189.11
08/04/22,190.25,190.68,187.03,189.17
08/05/22,180.01,191.05,180.01,189.25
08/08/22,189.75,191.04,188.3,190.79
08/10/22,199.8,199.99,189.98,191.04
08/11/22,193.97,193.97,191.5,192.34
08/12/22,199.99,199.99,191.71,192.86
8/16/2022,199.74,199.74,192.9,194.09
8/17/2022,198.2,198.2,194.2,195.55
8/18/2022,196.5,196.89,194.2,195.71
8/19/2022,196.63,196.63,193.12,193.61
8/22/2022,168.4,194.06,168.4,190.95
8/23/2022,190.74,192.7,189.53,192.19
8/24/2022,192.9,192.9,191.2,192.63
8/25/2022,194.9,195.33,191.3,191.78
8/26/2022,192.9,193.4,191.41,191.92
8/29/2022,191.72,191.72,187.55,189.44
8/30/2022,187.55,194.19,187.55,193.92
09/01/22,193.7,193.7,190.85,191.82
09/02/22,192.45,199.16,182,191.61
09/05/22,192.9,193.1,190.87,192.98
09/06/22,194.44,194.88,191.95,192.48
09/07/22,192.4,192.65,188.02,192.37
09/08/22,199.88,199.88,192.51,194
09/09/22,195.44,195.51,194.18,194.6
9/13/2022,196.8,197.19,195.7,196.95
9/14/2022,196.74,197.2,193.1,196.27
9/15/2022,197.47,197.47,195,195.69
9/16/2022,195.65,195.65,191.56,191.9
9/19/2022,195.5,195.5,190.72,192.75
9/20/2022,194.95,195.49,193.2,194.44
9/21/2022,195.22,195.22,192.73,193.5
9/22/2022,193.49,193.91,191.9,192.92
9/23/2022,197.49,197.49,189.5,189.64
9/26/2022,194.5,194.5,185.84,186.21
9/27/2022,188.44,188.44,185.26,186.05
9/28/2022,185.95,186.22,183.8,184.47
9/29/2022,186.85,186.85,183.71,184.07
9/30/2022,189.88,189.88,181.8,186.83
10/03/22,184.6,187.93,183.97,184.25
10/04/22,186.8,188.5,185.36,188.29
10/06/22,188.31,194.88,188.31,188.94
10/07/22,193.88,193.88,187.91,189.19
10/10/22,188.94,189.05,186.63,188.75
10/11/22,190.75,190.75,185.45,185.87
10/12/22,176.11,187.69,176.11,187.21
10/13/2022,187.59,187.6,185.61,186.23
10/14/2022,192.2,192.2,187.7,188.02
10/17/2022,188.6,189,186.06,188.83
10/18/2022,190.3,190.99,189.25,190.64
10/19/2022,194.5,194.5,190.18,190.83
10/20/2022,191.5,191.68,188.91,191.44
10/21/2022,191.97,192.55,190.65,191.52
10/25/2022,195.17,195.17,191.57,192.49
10/27/2022,192.61,194.15,192.61,193.45
10/28/2022,194.7,194.7,193.01,193.96
10/31/2022,195.7,196.5,194.5,196.27
11/01/22,197.8,198.24,196.36,197.98
11/02/22,198.8,198.8,197.07,197.41
11/03/22,197.4,197.82,194.6,197.39
11/04/22,198.6,198.6,196.7,197.77
11/07/22,199,199.4,197.42,198.62
11/09/22,203.49,203.49,198.15,198.32
11/10/22,198.2,198.2,196.25,196.86
11/11/22,199.37,200.35,198.45,200.22
11/14/2022,200.7,200.96,199.02,200.17
11/15/2022,201.67,201.67,199.8,200.91
11/16/2022,201.95,201.95,200.28,200.87
11/17/2022,201.25,201.25,199.45,200.2
11/18/2022,201.25,201.25,199.06,199.92
11/21/2022,199.99,199.99,198.4,198.55
11/22/2022,199.73,199.73,198.01,199.23
11/23/2022,200.52,200.52,199.17,199.51
11/24/2022,200.72,202.22,199.45,201.72
11/25/2022,202.37,202.64,201.44,202.35
11/28/2022,203.52,203.52,200.91,203.04
11/29/2022,207.49,207.49,201.91,203.43
11/30/2022,207.48,207.48,202.75,204.7
12/01/22,207.49,207.49,204.73,205.54
12/02/22,207.49,207.49,203.9,204.81
12/05/22,207.49,207.49,203.65,204.44
12/06/22,206.48,206.48,203.5,204.14
12/07/22,203.87,207.24,202.6,202.87
12/08/22,176.5,203.8,176.5,203.62
12/09/22,207.49,207.49,201.71,202.48
12/12/22,204.8,205.8,200.55,202.61
12/13/2022,207.49,207.49,202.31,203.77
12/14/2022,204.99,204.99,203.77,204.35
12/15/2022,204.75,204.75,201.32,201.58
12/16/2022,202.35,202.35,200,200.16
12/19/2022,201.42,201.79,198.66,201.67
12/20/2022,203.85,203.85,199.25,201.21
12/21/2022,203.95,203.95,199,199.4
12/22/2022,199.4,202.31,197.9,198.55
12/23/2022,201.43,201.43,194.8,195.15
12/26/2022,198.51,198.51,194.8,197.23
12/27/2022,198.91,198.91,196.58,198
12/28/2022,198.95,198.95,197.01,197.99
12/29/2022,197.9,199.08,196.76,198.78
12/30/2022,199.9,200.14,197.7,198.04
01/02/23,200.99,201,197.49,199.34
01/03/23,199.95,199.95,198.39,199.68
01/04/23,200.9,200.9,197.4,197.67
01/05/23,198.95,198.95,195,197.07
01/06/23,198.15,198.15,194.99,195.72
01/09/23,195.76,199,195.72,198.28
01/10/23,198.28,199.18,195.62,196.13
01/11/23,195.88,198.99,195.25,196.13
01/12/23,202,202,194.55,195.61
1/13/2023,196.9,197.15,194.73,196.61
1/16/2023,196.61,198.5,195.6,196.06
1/17/2023,196,198,195.81,197.47
1/18/2023,199,199,197.18,198.65
1/19/2023,199.41,199.41,197.67,198.43
1/20/2023,199.89,199.89,197.31,197.45
1/23/2023,198.59,199,197.61,198.44
1/24/2023,199.94,199.94,198,198.42
1/25/2023,199.44,199.44,195.6,196.04
1/27/2023,196.95,197.2,191.59,193
1/30/2023,194.9,194.9,190.5,193.25
1/31/2023,196.49,196.49,192.21,193.44
02/01/23,196.99,196.99,190.6,193.13
02/02/23,194.6,194.6,191.11,192.91
02/03/23,198.7,203.5,190.01,195.12
02/06/23,199.9,201,193.91,194.48
02/07/23,196.16,196.16,193.4,194.04
02/08/23,194.2,195.8,189.1,195.54
02/09/23,201.4,201.4,194.61,195.89
02/10/23,197.97,197.97,194.39,195.49
2/13/2023,195.49,198.2,193.93,194.6
2/14/2023,197.89,197.89,194.6,195.98
2/15/2023,196.98,197.37,194.13,197.08
2/16/2023,198.48,198.48,196.6,197.35
2/17/2023,198.89,198.89,195.75,196.3
2/20/2023,198.69,198.69,195.35,195.59
2/21/2023,196.25,196.52,193.25,195.26
2/22/2023,196.89,196.89,192.21,192.51
2/23/2023,194.49,194.49,191.44,192.01
2/24/2023,193.99,195,191.05,191.46
2/27/2023,192.87,192.87,189.73,190.56
2/28/2023,192.48,192.48,189.2,189.7
03/01/23,191.89,191.89,189.81,191.28
03/02/23,192.65,196.5,189.76,189.93
03/03/23,193.15,193.15,190.33,192.51
03/06/23,193.89,194.4,192.61,193.63
03/08/23,194.63,194.63,190.6,193.95
03/09/23,188.15,194.65,188.15,192.64
03/10/23,191.91,191.92,190,190.75
3/13/2023,192.65,192.65,187.65,188.12
3/14/2023,189.44,189.7,186.31,186.91
3/15/2023,192.5,192.5,185.76,186.1
3/16/2023,188.52,188.52,184.8,186.23
3/17/2023,189.52,189.52,185.9,187.42
3/20/2023,188.4,188.4,184.51,186.2
3/21/2023,187.89,187.9,186.01,187.46
3/22/2023,188.75,188.75,187.46,187.88
3/23/2023,189.79,189.79,186.67,186.91
3/24/2023,187.9,187.9,185.36,185.68
3/27/2023,186.64,187.15,185.6,186.18
3/28/2023,187.53,187.53,185.25,185.71
3/29/2023,187.49,187.49,185.01,187.09
3/31/2023,187.22,190,187.22,189.86
04/03/23,191.49,191.49,189.44,190.56
04/05/23,191.56,192.47,189.77,192.19
04/06/23,189.2,193.25,189.2,192.94
04/10/23,194.39,194.39,192.45,192.64
04/11/23,193.91,193.91,192.7,193.76
04/12/23,193.89,194.8,193.57,194.64
4/13/2023,194.63,195.1,193.8,194.77
4/17/2023,196,196,192.5,193.91
4/18/2023,194.91,194.91,192.66,193.24
4/19/2023,194,194,192.58,192.86
4/20/2023,194,194,192.48,192.99
4/21/2023,192.5,194.2,192.4,192.85
4/24/2023,194.4,194.4,192.8,193.95
4/25/2023,194.59,194.6,193.59,194.13
4/26/2023,194.5,194.75,193.5,194.62
4/27/2023,195.2,196.35,193.86,195.93
4/28/2023,196.8,197.72,195.74,197.29
05/02/23,198.5,199.7,196.11,198.39
05/03/23,199.79,199.79,197.28,197.68
05/04/23,199.45,199.61,197.03,199.44
05/05/23,199.89,199.89,197.67,197.84
05/08/23,197.95,199.99,197.84,199.71
05/09/23,200.4,200.49,199.05,199.7
05/10/23,200.2,200.37,199.08,200
05/11/23,200.99,200.99,199.96,200.35
05/12/23,200.27,200.45,199.06,200.26
5/15/2023,200.26,201.79,199.94,201.34
5/16/2023,200.25,202.25,200.25,200.51
5/17/2023,201.25,201.49,199,199.76
5/18/2023,201.39,201.49,198.8,199.05
5/19/2023,205,205,198.25,199.82
5/22/2023,200.49,200.93,199.05,200.74
5/23/2023,200.05,201.7,200.05,201.02
5/24/2023,201.49,201.5,199.81,200.24
5/25/2023,200.95,200.95,199.26,200.7
5/26/2023,201.89,203.27,200.05,202.85
5/29/2023,202.85,204.8,202.85,204.14
5/30/2023,205.49,205.49,202.53,204.36
5/31/2023,205.49,205.49,203.06,203.66
06/01/23,205.39,205.39,202.11,202.99
06/02/23,204.9,204.9,203.08,203.84
06/05/23,205.39,205.48,203.99,204.28
06/06/23,205.39,205.39,203.45,204.04
06/07/23,205.39,205.45,203.92,205.34
06/08/23,203.92,206.21,203.92,204.51
06/09/23,205.9,205.9,203.85,204.03
06/12/23,204.9,205.45,203.83,204.46
6/13/2023,205.48,205.52,204.3,205.45
6/14/2023,211.6,211.6,205.08,205.85
6/15/2023,206.39,206.39,204.69,205.31
6/16/2023,206.39,207.1,205.41,206.69
6/19/2023,206.69,208.98,205.51,205.87
6/20/2023,205.75,206.75,204.94,206.5
6/21/2023,206.04,207.46,206.04,206.87
6/22/2023,206.87,207.47,206.08,206.24
6/23/2023,212.45,212.45,204.8,204.98
6/26/2023,206.25,206.25,204.52,205.17
6/27/2023,207.36,207.36,205.36,206.46
6/28/2023,207.4,208.56,206.28,208.18
6/30/2023,209.6,210.91,208.09,210.61
07/03/23,213.45,213.45,210.9,212.3
07/04/23,218.65,218.65,212,213.06
07/05/23,218,218,212.3,212.92
07/06/23,218,219.3,212.05,213.96
07/07/23,220.4,220.4,212.5,212.72
07/10/23,218.4,218.4,210.15,212.64
07/11/23,219,219,212.66,213.45
07/12/23,214.95,214.95,213,213.25
7/13/2023,215,215,213.25,213.69
7/14/2023,215.46,215.46,213.56,214.83
7/17/2023,216.14,216.9,214.82,216.53
7/18/2023,216.91,217.8,216.1,217.02
7/19/2023,219.95,219.95,216.76,217.97
7/20/2023,219.9,219.9,217.16,219.51
7/21/2023,219.44,219.44,216.99,217.48
7/24/2023,219.38,219.38,216.54,216.73
7/25/2023,219.95,219.95,216.06,216.64
7/26/2023,219.7,219.7,213.65,217.72
7/27/2023,219.7,219.7,211.2,216.63
7/28/2023,218.78,218.78,215.5,216.34
7/31/2023,218.78,218.78,216,217.58
08/01/23,218,218.4,217.02,217.23
08/02/23,217.22,217.45,214,215.1
08/03/23,216.52,216.52,212.15,213.56
08/04/23,215.85,215.85,212.77,215.04
08/07/23,216.21,216.21,215.05,215.95
08/08/23,216.47,216.7,209.45,215.79
08/09/23,216.85,216.85,212.8,216.49
08/10/23,217.27,217.27,215.01,215.33
08/11/23,217.21,217.21,214.25,214.4
8/14/2023,217.82,217.82,211.65,214.51
8/16/2023,218.47,218.47,212.68,214.57
8/17/2023,218.17,218.17,208.15,213.7
8/18/2023,218.19,218.19,212.31,213
